,模型,窗口长度,mae,mse,rmse,R2,mean_n,var_n
0,GRU+GRUCNN+,10,2.4592950182861766,20.48847881386548,4.526420088090088,0.891558563821228,0.007929032496215665,20.488415944309157
1,GRU+LSTM+,10,2.4560580048454597,20.553936798620782,4.533644979331838,0.891212107749954,-0.22168357092819882,20.504793193001305
2,GRU+LSTMCNN+,10,2.500638204112078,19.224236654863265,4.384545205019931,0.8982499456776093,0.13892721165157093,19.20493588472598
3,GRUCNN+LSTM+,10,2.463135739830013,20.552065117205,4.533438553372594,0.8912220141867685,-0.292419519994194,20.466555941531364
4,GRUCNN+LSTMCNN+,10,2.5362119990914636,19.621695286,4.429638279363226,0.8961462763337951,-0.004228744449713527,19.62167740372038
5,LSTM+LSTMCNN+,10,2.53708409317904,19.765476551759203,4.445838115784155,0.8953852707415215,-0.34794844427823585,19.64440843188356
6,GRU+GRUCNN+LSTM+,10,2.445068434524728,20.549825806501193,4.533191569578898,0.8912338664121571,-0.21346493579181738,20.50425852768858
7,GRU+GRUCNN+LSTMCNN+,10,2.4696426655933053,19.33977640709837,4.3977012639671615,0.897638416789499,0.08838659955648025,19.331964216117214
8,GRU+LSTM+LSTMCNN+,10,2.435334975330555,18.982542545172286,4.356895975941161,0.8995291844443791,-0.11919145206653453,18.968335942926554
9,GRUCNN+LSTM+LSTMCNN+,10,2.4652385602521703,19.238121746572862,4.386128332205165,0.8981764546536957,-0.16295875783407587,19.211566189818033
10,GRU+GRUCNN+LSTM+LSTMCNN+,10,2.438301307580185,19.103558149520502,4.370761735615487,0.8988886729620585,-0.1069905390978537,19.09211117406405
